Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
El Salvador,SLV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.848,71.859,71.831,71.771,71.746,71.814,72.025,72.311,72.555,72.559,71.061,70.748,71.475
El Salvador,SLV,Net migration,SM.POP.NETM,-54686,-53440,-50554,-49086,-49130,-51282,-47499,-50616,-54158,-55143,-25214,-27343,-23249
El Salvador,SLV,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,83.7547743731515,84.1280076806049,84.4929764471639,84.8497505668913,85.198960719006,85.5407927310038,85.873730827727,86.1978582430374,86.5136611901022,86.8216058122908,87.1219856405385,87.3915065689454,87.5527837523229
El Salvador,SLV,Population density (people per sq. km of land area),EN.POP.DNST,295.078861003861,296.204102316602,297.359507722008,298.534845559846,299.687548262548,300.727123552124,301.665540540541,302.444691119691,302.912258687259,303.099276061776,303.703233590734,304.73778957529,..
Guatemala,GTM,Access to electricity (% of population),EG.ELC.ACCS.ZS,84.3,84,86.8,88.1,85.5,90.5,91.8,93.3,94.2,95.4,96.6,97.9,99.1
Guatemala,GTM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2417.94636048594,2722.66306177561,2871.73430203678,3004.24382352275,3212.69902780478,3439.84711979065,3560.90388718974,3791.60178840997,3845.29922607009,4006.90710748626,3977.51225969779,4308.91309993237,..
Guatemala,GTM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,174.79473877,190.7144928,200.33554077,198.33766174,216.79504395,233.41566467,246.11730957,265.18399048,265.74734497,278.54898071,289.1265564,340.95812988,..
Guatemala,GTM,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,58.345,58.867,63.318,58.404,59.082,59.077,59.122,59.443,59.122,57.871,..,61.569,58.403
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,2852.55759284808,3228.03827784076,3355.03477737406,3522.76742900978,3779.62620518889,3994.62908519019,4173.28134863663,4454.02450948165,4485.75213495073,4647.80754129437,4609.89725752869,5029.47755484093,5473.20856444589
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,27.4918265373292,27.9436212267543,28.1234371173336,22.9529484330494,23.1927165333151,22.7375109396278,22.6144411202747,21.9049097758764,21.426432384342,21.9422574352816,22.3333520354898,22.3425552842911,22.649550528696
Guatemala,GTM,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,87.561,85.821,87.251,85.845,79.639,85.211,82.561,82.1,81.981,81.434,..,84.594,81.226
Guatemala,GTM,"Labor force, total",SL.TLF.TOTL.IN,5253574,5486770,5980602,5682211,5883588,6022488,6184488,6364813,6472399,6481136,6460734,6764382,7069008
Guatemala,GTM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.878,71.177,71.463,71.728,71.964,72.103,72.355,72.551,72.726,73.129,71.797,69.237,68.674
Guatemala,GTM,Net migration,SM.POP.NETM,-36072,-33204,-32572,-35666,-40409,-48162,-39266,-48049,-56884,-58095,-23142,-29118,-9128
Guatemala,GTM,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,65.3698828920577,65.7163109070177,66.0535930085137,66.3848057892788,66.7098797562999,67.0292722902046,67.3421315783412,67.6489329553936,67.9496248369032,68.2436687072873,68.5313077967676,69.0780338236167,69.6217278990742
